"Reference","Qty","DNP","Manufacturer","MPN","LCSC","Value","Footprint","Datasheet"
"SW101","1","","CTR","ED11305M-FB18.5A10-E20-160-G219","C19712528","Rotary Encoder","Rotary_Encoder:RotaryEncoder_Bourns_Vertical_PEC12R-3x17F-Sxxxx","https://lcsc.com/datasheet/lcsc_datasheet_2410121342_CTR-ED11305M-FB18-5A10-E20-160-G219_C19712528.pdf"
"J101","1","","JST","BM05B-SRSS-TBT(LF)(SN)","C265092","BM05B-SRSS-TBT(LF)(SN)","Connector_JST:JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical","https://www.lcsc.com/datasheet/lcsc_datasheet_2004071004_JST-BM05B-SRSS-TBT-LF-SN_C265092.pdf"
